label,id
0,0
0,1
0,2
0,3
0,4
1,5
0,6
1,7
1,8
0,9
0,10
0,11
0,12
1,13
0,14
1,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
1,26
0,27
0,28
1,29
1,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
1,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
1,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
1,63
0,64
1,65
1,66
0,67
0,68
1,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
1,77
0,78
0,79
0,80
1,81
0,82
0,83
0,84
0,85
0,86
0,87
1,88
0,89
0,90
0,91
1,92
0,93
1,94
0,95
0,96
1,97
0,98
1,99
0,100
0,101
1,102
1,103
0,104
1,105
0,106
0,107
0,108
1,109
0,110
0,111
1,112
0,113
0,114
1,115
0,116
1,117
0,118
1,119
0,120
1,121
1,122
0,123
1,124
0,125
0,126
0,127
0,128
1,129
0,130
1,131
1,132
0,133
0,134
0,135
1,136
0,137
0,138
1,139
0,140
0,141
0,142
0,143
0,144
1,145
0,146
0,147
1,148
0,149
0,150
0,151
0,152
0,153
0,154
1,155
1,156
1,157
1,158
0,159
1,160
0,161
0,162
0,163
0,164
0,165
0,166
1,167
1,168
1,169
1,170
0,171
0,172
1,173
1,174
1,175
1,176
1,177
1,178
1,179
1,180
1,181
1,182
1,183
1,184
0,185
1,186
1,187
1,188
1,189
0,190
1,191
0,192
0,193
0,194
